BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,gkg_1422148366_ra-HF,txt_1422148366_en-US,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:26:15.8060000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,7,0,"0d, 0h, 01m, 10s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,gkg_3006226685_ra-HF,txt_3006226685_en-US,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:26:43.2430000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,fvgr_1951618997_ra-hf,site_1951618997_en-us,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:26:50.0240000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,fvgr_1033182864_ra-hf,site_1033182864_en-us,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:27:00.7810000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,gkg_1051425824_ra-HF,txt_1051425824_en-US,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:27:27.9770000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,gkg_486360745_ra-HF,txt_486360745_en-US,1,0,"0d, 0h, 00m, 10s",2016-06-21 09:27:35.1650000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{BCB48336-4DDD-48FF-BB0B-D3190DACB3E2}\Count,gkg_3181933522_ra-hf,txt_3181933522_en-us,1,0,"0d, 0h, 00m, 10s",2016-06-21 13:17:41.8300000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.VagreargRkcybere.Qrsnhyg,Microsoft.InternetExplorer.Default,1,5,"0d, 0h, 07m, 33s",2016-06-21 08:38:47.0860000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,45,283,"0d, 3h, 17m, 59s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Rkcybere,Microsoft.Windows.Explorer,0,81,"0d, 0h, 23m, 35s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Uhagre\Qbjaybnqf\PuebzrFrghc.rkr,C:\Users\Hunter\Downloads\ChromeSetup.exe,1,0,"0d, 0h, 00m, 00s",2016-06-21 08:41:33.9460000
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\THZ9643.gzc\TbbtyrHcqngr.rkr,{Program Files x86}\GUM9643.tmp\GoogleUpdate.exe,0,0,"0d, 0h, 00m, 02s",
CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\Tbbtyr\Hcqngr\TbbtyrHcqngr.rkr,{Program Files x86}\Google\Update\GoogleUpdate.exe,0,2,"0d, 0h, 01m, 46s",
