Timestamp,BatchKeyPath,KeyName,BatchValueName,ProfileImagePath
2017-09-29 13:48:39.8448405,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-18,S-1-5-18,Multiple,%systemroot%\system32\config\systemprofile
2018-03-27 12:11:46.5394438,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-19,S-1-5-19,Multiple,C:\Windows\ServiceProfiles\LocalService
2018-03-27 12:11:46.0374264,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-20,S-1-5-20,Multiple,C:\Windows\ServiceProfiles\NetworkService
2018-03-27 09:19:58.2428927,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-2734969515-1644526556-1039763013-1000,S-1-5-21-2734969515-1644526556-1039763013-1000,Multiple,C:\Users\defaultuser0
2018-03-27 09:19:58.7429132,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-2734969515-1644526556-1039763013-1001,S-1-5-21-2734969515-1644526556-1039763013-1001,Multiple,C:\Users\jcloudy
